"observationDate","stateProvince","decimalLatitude","decimalLongitude","scientificName","vernacularName","dataResourceName","basisOfRecord","recordID"
2013-03-27,"New South Wales",-33.61,150.75,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","58747092-4a74-47a4-8c05-8b6101dbaa04"
2014-08-09,"Victoria",-37.728824,145.088892,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","7b7646e3-de7c-443a-8743-5312d785824c"
2015-03-24,"New South Wales",-33.78,150.88,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","751a7edb-59f4-44d9-a45e-5bdf7ab85a83"
2014-10-02,"Victoria",-37.798875,144.96338,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","8d6f93ee-3ada-4bbf-be19-133bb651da4c"
2015-04-04,"Queensland",-28.135984,153.487643,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","dedb24ec-c243-4562-87bd-9d32183a8b3d"
2013-03-26,"New South Wales",-33.99,150.89,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","8a17bfe4-6a4b-48e7-b795-502c14f5fc5d"
2017-03-24,"New South Wales",-34.071963,150.797256,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","96461da7-1403-4a01-ab25-577769a42a60"
2017-03-23,"New South Wales",-33.61182,150.750956,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","3cefea4f-26f0-4153-87ec-84cc4937c12c"
2013-05-07,"Victoria",-37.842627,144.963517,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","8916b8d3-d861-4892-972e-265af951118a"
2015-03-22,"New South Wales",-33.75,151.05,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","4c125902-9e72-4580-9cdf-90005b8ff782"
2015-12-13,"New South Wales",-33.88,150.88,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","9478e720-8827-4cf9-9f19-53cbadb1db28"
2013-03-26,"New South Wales",-33.6,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","7799af91-b8d4-4551-8205-450b0872f5b5"
2012-09-04,"Victoria",-37.913592,145.133343,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","5ab3a324-9179-4766-8b88-637985a9e15a"
2017-03-20,"New South Wales",-33.80874,150.994947,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","926b5500-8cd1-45d6-a0d6-5af34e263724"
2015-04-02,"New South Wales",-34.03,150.82,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","598d2a13-8797-4c22-a8e2-1398f05bc7bb"
2016-04-24,"New South Wales",-33.771113,150.910508,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","1c38f957-d5a0-4181-a76e-fc3349c4058c"
2017-03-27,"New South Wales",-34.018732,150.812611,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","446a2d5e-5396-48f0-bea6-4d38b05f5dda"
2013-05-09,"Australian Capital Territory",-35.3,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","4f792f9b-9567-45f5-ad5c-c4b77cc9e9ec"
2017-03-28,"New South Wales",-34.020192,150.808547,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","61cd6766-16e1-48a6-9639-42a96c940649"
2015-03-28,"New South Wales",-34.04,151.11,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","a6c5f99c-7eb7-4ae8-87fb-2d90666adf86"
2014-08-14,"Victoria",-37.802374,144.958226,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","174557eb-4196-4074-9c3c-c408896a05aa"
2015-04-01,"New South Wales",-33.79,150.69,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","949fb7ed-6f66-4a62-90b3-b7c43db1bd15"
2015-04-07,"New South Wales",-33.69,150.59,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","7800453e-69bb-4184-998d-8ce38fc08d94"
2015-04-04,"New South Wales",-33.8,151,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","04fa7dec-af18-4073-9c8b-f0da5e2b6c34"
2013-03-30,"New South Wales",-33.7,151.05,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","ce54c8d8-8ebb-49a5-8b4a-18521bc1bab2"
2017-03-13,"New South Wales",-34.068895,150.791333,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","b74483bb-a35a-45fb-b625-3456564100fd"
2017-03-14,"New South Wales",-34.068887,150.791361,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","0b6d0720-e32f-4f57-bde6-924963035b9e"
2015-03-28,"New South Wales",-33.89,150.93,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","4c327849-197c-444b-af6b-15bf9df8b80d"
2013-03-25,"New South Wales",-34,150.87,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","9ea194fb-fc5f-4b40-8cfe-7fc060dffe08"
2017-03-15,"New South Wales",-34.069723,150.785767,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","3258d76c-4dae-4606-a307-0146c255cfc5"
2014-09-25,"Victoria",-37.802216,144.965455,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","32b60b5b-ee81-46ce-8f37-d6278025f253"
2015-08-13,"Victoria",-37.908001,145.139489,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","8bff125a-036f-489d-b9a1-feb0e92a1ef8"
2017-03-22,"New South Wales",-33.811831,151.025147,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","869249db-959e-47ab-830c-ef030da83c4c"
2013-03-28,"New South Wales",-33.81,151.02,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","0532b665-5dd0-46c3-9a79-964e771f2c44"
2017-03-20,"New South Wales",-34.068439,150.789591,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","a9b0e070-5e16-469d-882f-6ec3b168321f"
2013-04-01,"New South Wales",-33.9,150.95,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","ad6cc22d-8830-4865-be82-7dc570421185"
2013-04-30,"Australian Capital Territory",-35.3,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","b0e03c6e-41f6-482b-b737-df22f5f63f80"
2013-03-02,"Victoria",-37.749332,144.986986,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","7b4f8473-c856-4d88-a8ba-b2b6732514ad"
2013-03-15,"New South Wales",-34.07,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","067a15bb-d3e4-4a05-9e62-b5811b18dad8"
2015-03-14,"New South Wales",-33.72,150.99,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","fcbf76b1-d325-4896-a0f9-a466b2dde526"
2015-03-26,"New South Wales",-33.95,151.03,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","abf2a6a0-4028-47bd-afeb-c6c9ca52b3eb"
2013-03-26,"New South Wales",-34.07,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","4b9012de-bee2-4a1d-bd74-ce8044d24e9a"
2017-03-13,"New South Wales",-34.06898,150.791356,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","6bfb37b5-0447-4cdd-bd18-c5c7412acc7f"
2017-03-24,"New South Wales",-34.068929,150.790497,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","d0efbfb4-e7c6-4e23-b5db-2ddfa6848d90"
2013-04-01,"Victoria",-37.881353,145.358811,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","234bfe16-c3cc-48c6-920d-895a8550e7cb"
2013-07-30,"New South Wales",-33.86,151.22,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","4f9d011c-f9e0-4a4b-bff5-0de42a1c02e4"
